Year,NOC,Athletes,Total_Medals,Efficiency
2010,CAN,201,308,1.5323383084577114
2010,CAY,1,1,1.0
2010,CHI,3,10,3.3333333333333335
2010,CHN,86,127,1.4767441860465116
2010,COL,1,2,2.0
2010,CRO,19,37,1.9473684210526316
2010,CYP,2,4,2.0
2010,CZE,90,172,1.9111111111111112
2010,DEN,17,23,1.3529411764705883
2010,ESP,18,35,1.9444444444444444
2010,EST,30,64,2.1333333333333333
2010,ETH,1,1,1.0
2010,FIN,91,146,1.6043956043956045
2010,FRA,104,196,1.8846153846153846
2010,GBR,52,78,1.5
2010,GEO,6,9,1.5
2010,GER,149,259,1.738255033557047
2010,GHA,1,1,1.0
2010,GRE,7,12,1.7142857142857142
2010,HKG,1,3,3.0
2010,HUN,15,32,2.1333333333333333
2010,IND,3,3,1.0
2010,IRI,4,7,1.75
2010,IRL,6,7,1.1666666666666667
2010,ISL,4,7,1.75
2010,ISR,3,4,1.3333333333333333
2010,ITA,109,208,1.908256880733945
2010,JAM,1,1,1.0
2010,JPN,91,153,1.6813186813186813
2010,KAZ,37,100,2.7027027027027026
2010,KGZ,2,3,1.5
2010,KOR,45,84,1.8666666666666667
2010,LAT,53,81,1.528301886792453
2010,LIB,3,6,2.0
2010,LIE,4,5,1.25
2010,LTU,6,13,2.1666666666666665
2010,MAR,1,2,2.0
2010,MDA,7,11,1.5714285714285714
2010,MEX,1,2,2.0
2010,MGL,2,2,1.0
2010,MKD,3,4,1.3333333333333333
2010,MNE,1,2,2.0
2010,MON,3,6,2.0
2010,NED,32,65,2.03125
2010,NEP,1,1,1.0
2010,NOR,95,190,2.0
2010,NZL,16,22,1.375
2010,PAK,1,1,1.0
2010,PER,3,5,1.6666666666666667
2010,POL,46,106,2.3043478260869565
2010,POR,1,1,1.0
2010,PRK,2,3,1.5
2010,ROU,28,49,1.75
2010,RSA,2,2,1.0
2010,RUS,175,279,1.5942857142857143
2010,SEN,1,2,2.0
2010,SLO,47,107,2.276595744680851
2010,SMR,1,1,1.0
2010,SRB,10,15,1.5
2010,SUI,134,190,1.4179104477611941
2010,SVK,68,107,1.5735294117647058
2010,SWE,101,172,1.702970297029703
2010,TJK,1,4,4.0
2010,TPE,1,1,1.0
2010,TUR,5,9,1.8
2010,UKR,45,95,2.111111111111111
2010,USA,212,341,1.6084905660377358
2010,UZB,3,5,1.6666666666666667
2012,AFG,6,6,1.0
2012,ALB,9,10,1.1111111111111112
2012,ALG,38,39,1.0263157894736843
2012,AND,6,6,1.0
2012,ANG,33,35,1.0606060606060606
2012,ANT,4,4,1.0
2012,ARG,137,148,1.0802919708029197
2012,ARM,24,31,1.2916666666666667
2012,ARU,4,4,1.0
2012,ASA,4,4,1.0
2012,AUS,405,514,1.2691358024691357
2012,AUT,70,90,1.2857142857142858
2012,AZE,52,59,1.1346153846153846
2012,BAH,21,29,1.380952380952381
2012,BAN,5,7,1.4
2012,BAR,6,8,1.3333333333333333
2012,BDI,6,6,1.0
2012,BEL,111,142,1.2792792792792793
2012,BEN,5,5,1.0
2012,BER,8,8,1.0
2012,BHU,2,2,1.0
2012,BIH,6,8,1.3333333333333333
2012,BIZ,3,3,1.0
2012,BLR,160,185,1.15625
2012,BOL,5,5,1.0
2012,BOT,4,4,1.0
2012,BRA,248,306,1.2338709677419355
2012,BRN,12,14,1.1666666666666667
2012,BRU,3,3,1.0
2012,BUL,63,75,1.1904761904761905
2012,BUR,5,5,1.0
2012,CAF,6,6,1.0
2012,CAM,6,6,1.0
2012,CAN,273,354,1.2967032967032968
2012,CAY,4,7,1.75
2012,CGO,7,7,1.0
2012,CHA,2,2,1.0
2012,CHI,35,44,1.2571428571428571
2012,CHN,375,479,1.2773333333333334
2012,CIV,9,10,1.1111111111111112
2012,CMR,32,32,1.0
2012,COD,4,4,1.0
2012,COK,8,9,1.125
2012,COL,101,120,1.188118811881188
2012,COM,3,3,1.0
2012,CPV,3,3,1.0
2012,CRC,11,11,1.0
2012,CRO,107,118,1.102803738317757
2012,CUB,109,118,1.0825688073394495
2012,CYP,13,13,1.0
2012,CZE,133,159,1.1954887218045114
2012,DEN,114,149,1.3070175438596492
2012,DJI,4,4,1.0
2012,DMA,2,2,1.0
2012,DOM,33,36,1.0909090909090908
2012,ECU,36,36,1.0
2012,EGY,109,132,1.2110091743119267
2012,ERI,12,12,1.0
2012,ESA,10,11,1.1
2012,ESP,278,339,1.2194244604316546
2012,EST,32,36,1.125
2012,ETH,33,34,1.0303030303030303
2012,FIJ,9,9,1.0
2012,FIN,56,69,1.2321428571428572
2012,FRA,324,426,1.3148148148148149
2012,FSM,6,6,1.0
2012,GAB,21,21,1.0
2012,GAM,2,2,1.0
2012,GBR,530,684,1.290566037735849
2012,GBS,4,4,1.0
2012,GEO,34,36,1.0588235294117647
2012,GEQ,2,2,1.0
2012,GER,383,510,1.3315926892950392
2012,GHA,7,7,1.0
2012,GRE,102,115,1.1274509803921569
2012,GRN,8,8,1.0
2012,GUA,19,24,1.263157894736842
2012,GUI,4,4,1.0
2012,GUM,8,8,1.0
2012,GUY,6,6,1.0
2012,HAI,5,5,1.0
2012,HKG,41,55,1.3414634146341464
2012,HON,25,25,1.0
2012,HUN,152,201,1.3223684210526316
2012,INA,22,22,1.0
2012,IND,81,95,1.1728395061728396
2012,IOA,4,4,1.0
2012,IRI,52,57,1.0961538461538463
2012,IRL,64,76,1.1875
2012,IRQ,8,8,1.0
2012,ISL,27,36,1.3333333333333333
2012,ISR,37,56,1.5135135135135136
2012,ISV,7,9,1.2857142857142858
2012,ITA,281,382,1.3594306049822065
2012,IVB,2,2,1.0
2012,JAM,45,62,1.3777777777777778
2012,JOR,9,9,1.0
2012,JPN,291,399,1.3711340206185567
2012,KAZ,113,132,1.168141592920354
2012,KEN,47,51,1.0851063829787233
2012,KGZ,14,15,1.0714285714285714
2012,KIR,3,3,1.0
2012,KOR,250,312,1.248
2012,KSA,18,23,1.2777777777777777
2012,KUW,10,12,1.2
2012,LAO,3,3,1.0
2012,LAT,45,50,1.1111111111111112
2012,LBA,4,4,1.0
2012,LBR,3,3,1.0
2012,LCA,4,4,1.0
2012,LES,4,4,1.0
2012,LIB,10,10,1.0
2012,LIE,3,4,1.3333333333333333
2012,LTU,62,72,1.1612903225806452
2012,LUX,9,11,1.2222222222222223
2012,MAD,7,7,1.0
2012,MAR,63,67,1.0634920634920635
2012,MAS,29,38,1.3103448275862069
2012,MAW,3,3,1.0
2012,MDA,20,20,1.0
2012,MDV,5,5,1.0
2012,MEX,99,119,1.202020202020202
2012,MGL,29,32,1.103448275862069
2012,MHL,4,4,1.0
2012,MKD,4,4,1.0
2012,MLI,6,6,1.0
2012,MLT,5,5,1.0
2012,MNE,33,34,1.0303030303030303
2012,MON,6,6,1.0
2012,MOZ,6,6,1.0
2012,MRI,11,11,1.0
2012,MTN,2,2,1.0
2012,MYA,6,6,1.0
2012,NAM,9,9,1.0
2012,NCA,6,6,1.0
2012,NED,173,222,1.283236994219653
2012,NEP,5,5,1.0
2012,NGR,49,58,1.183673469387755
2012,NIG,6,6,1.0
2012,NOR,61,69,1.1311475409836065
2012,NRU,2,2,1.0
2012,NZL,178,204,1.146067415730337
2012,OMA,3,3,1.0
2012,PAK,21,21,1.0
2012,PAN,8,8,1.0
2012,PAR,8,10,1.25
2012,PER,16,16,1.0
2012,PHI,11,11,1.0
2012,PLE,5,5,1.0
2012,PLW,5,5,1.0
2012,PNG,8,8,1.0
2012,POL,210,256,1.2190476190476192
2012,POR,76,98,1.2894736842105263
2012,PRK,52,57,1.0961538461538463
2012,PUR,25,28,1.12
2012,QAT,12,14,1.1666666666666667
2012,ROU,105,155,1.4761904761904763
2012,RSA,124,145,1.1693548387096775
2012,RUS,429,549,1.2797202797202798
2012,RWA,7,7,1.0
2012,SAM,8,9,1.125
2012,SEN,31,32,1.032258064516129
2012,SEY,6,6,1.0
2012,SGP,23,36,1.565217391304348
2012,SKN,4,7,1.75
2012,SLE,2,2,1.0
2012,SLO,65,78,1.2
2012,SMR,4,4,1.0
2012,SOL,4,4,1.0
2012,SOM,2,2,1.0
2012,SRB,116,134,1.1551724137931034
2012,SRI,7,8,1.1428571428571428
2012,STP,2,2,1.0
2012,SUD,6,6,1.0
2012,SUI,98,126,1.2857142857142858
2012,SUR,5,5,1.0
2012,SVK,47,65,1.3829787234042554
2012,SWE,133,168,1.263157894736842
2012,SWZ,3,3,1.0
2012,SYR,10,10,1.0
2012,TAN,6,6,1.0
2012,TGA,3,3,1.0
2012,THA,37,43,1.162162162162162
2012,TJK,16,16,1.0
2012,TKM,10,10,1.0
2012,TLS,2,2,1.0
2012,TOG,6,6,1.0
2012,TPE,44,55,1.25
2012,TTO,25,38,1.52
2012,TUN,83,87,1.0481927710843373
2012,TUR,112,119,1.0625
2012,TUV,3,3,1.0
2012,UAE,26,26,1.0
2012,UGA,15,16,1.0666666666666667
2012,UKR,230,304,1.3217391304347825
2012,URU,27,27,1.0
2012,USA,530,689,1.3
2012,UZB,53,56,1.0566037735849056
2012,VAN,5,5,1.0
2012,VEN,68,85,1.25
2012,VIE,18,24,1.3333333333333333
2012,VIN,3,3,1.0
2012,YEM,4,4,1.0
2012,ZAM,7,7,1.0
2012,ZIM,7,9,1.2857142857142858
2014,ALB,1,2,2.0
2014,AND,6,12,2.0
2014,ARG,7,20,2.857142857142857
2014,ARM,4,6,1.5
2014,AUS,60,84,1.4
2014,AUT,126,213,1.6904761904761905
2014,AZE,3,4,1.3333333333333333
2014,BEL,7,11,1.5714285714285714
2014,BER,1,1,1.0
2014,BIH,5,14,2.8
2014,BLR,26,72,2.769230769230769
2014,BRA,13,17,1.3076923076923077
2014,BUL,18,47,2.611111111111111
2014,CAN,217,359,1.6543778801843319
2014,CAY,1,2,2.0
2014,CHI,6,14,2.3333333333333335
2014,CHN,62,109,1.7580645161290323
2014,CRO,11,25,2.272727272727273
2014,CYP,1,2,2.0
2014,CZE,87,179,2.057471264367816
2014,DEN,10,15,1.5
2014,DMA,1,1,1.0
2014,ESP,20,39,1.95
2014,EST,25,66,2.64
2014,FIN,99,147,1.4848484848484849
2014,FRA,107,201,1.8785046728971964
2014,GBR,53,78,1.471698113207547
2014,GEO,4,7,1.75
2014,GER,151,271,1.794701986754967
2014,GRE,7,13,1.8571428571428572
2014,HKG,1,1,1.0
2014,HUN,16,37,2.3125
2014,IND,2,2,1.0
2014,IOA,1,1,1.0
2014,IRI,5,7,1.4
2014,IRL,5,8,1.6
2014,ISL,5,11,2.2
2014,ISR,4,6,1.5
2014,ISV,1,2,2.0
2014,ITA,110,227,2.0636363636363635
2014,IVB,1,1,1.0
2014,JAM,2,2,1.0
2014,JPN,109,171,1.5688073394495412
2014,KAZ,50,115,2.3
2014,KGZ,1,2,2.0
2014,KOR,71,130,1.8309859154929577
2014,LAT,56,82,1.4642857142857142
2014,LIB,2,3,1.5
2014,LIE,3,5,1.6666666666666667
2014,LTU,9,20,2.2222222222222223
2014,LUX,1,1,1.0
2014,MAR,2,4,2.0
2014,MDA,4,5,1.25
2014,MEX,1,1,1.0
2014,MGL,2,2,1.0
2014,MKD,3,6,2.0
2014,MLT,1,2,2.0
2014,MNE,2,3,1.5
2014,MON,5,11,2.2
2014,NED,39,82,2.1025641025641026
2014,NEP,1,1,1.0
2014,NOR,110,219,1.990909090909091
2014,NZL,14,18,1.2857142857142858
2014,PAK,1,1,1.0
2014,PAR,1,1,1.0
2014,PER,3,5,1.6666666666666667
2014,PHI,1,1,1.0
2014,POL,58,149,2.5689655172413794
2014,POR,2,4,2.0
2014,ROU,22,40,1.8181818181818181
2014,RUS,213,353,1.6572769953051643
2014,SLO,58,116,2.0
2014,SMR,2,2,1.0
2014,SRB,8,17,2.125
2014,SUI,152,219,1.4407894736842106
2014,SVK,62,115,1.8548387096774193
2014,SWE,99,148,1.494949494949495
2014,TGA,1,1,1.0
2014,THA,2,3,1.5
2014,TJK,1,1,1.0
2014,TLS,1,1,1.0
2014,TOG,2,3,1.5
2014,TPE,3,5,1.6666666666666667
2014,TUR,6,11,1.8333333333333333
2014,UKR,42,101,2.4047619047619047
2014,USA,222,367,1.6531531531531531
2014,UZB,3,5,1.6666666666666667
2014,VEN,1,1,1.0
2014,ZIM,1,2,2.0
2016,AFG,3,3,1.0
2016,ALB,6,6,1.0
2016,ALG,64,74,1.15625
2016,AND,4,4,1.0
2016,ANG,26,26,1.0
2016,ANT,8,9,1.125
2016,ARG,215,232,1.0790697674418606
2016,ARM,31,34,1.096774193548387
2016,ARU,7,7,1.0
2016,ASA,4,4,1.0
2016,AUS,420,518,1.2333333333333334
2016,AUT,71,85,1.1971830985915493
2016,AZE,56,69,1.2321428571428572
2016,BAH,29,38,1.3103448275862069
2016,BAN,7,7,1.0
2016,BAR,11,13,1.1818181818181819
2016,BDI,9,10,1.1111111111111112
2016,BEL,104,138,1.3269230769230769
2016,BEN,6,6,1.0
2016,BER,8,8,1.0
2016,BHU,2,2,1.0
2016,BIH,11,11,1.0
2016,BIZ,3,3,1.0
2016,BLR,120,142,1.1833333333333333
2016,BOL,12,12,1.0
2016,BOT,12,14,1.1666666666666667
2016,BRA,462,583,1.2619047619047619
